TRADEDATE,AFLT,CHMF,GAZP,GMKN,HYDR,IMOEX,LKOH,MAGN,MGNT,MTSS,NLMK,POLY,ROSN,SBER,SBERP,SNGSP,TATN,VTBR,YNDX
2015-07-29,38.97,650.3,138.7,9359.0,0.5178,1622.32,2430.9,18.449,11800.0,217.05,77.78,416.0,229.0,71.2,50.51,36.1,284.2,0.07229,903.0
2015-07-30,39.22,663.6,139.8,9365.0,0.5225,1636.72,2441.0,18.728,12040.0,219.0,79.12,425.0,230.1,72.2,50.9,37.08,284.4,0.07196,898.0
2015-07-31,39.35,687.5,142.5,9427.0,0.5349,1669.0,2537.6,18.89,12200.0,224.9,79.22,434.5,236.7,72.3,51.39,37.75,301.85,0.072,882.0
2015-08-03,39.3,692.0,141.45,9514.0,0.5311,1663.74,2509.1,19.35,12268.0,222.55,80.17,426.0,233.05,71.1,50.83,37.4,303.9,0.072,866.0
2015-08-04,39.3,695.0,141.89,9889.0,0.5256,1674.46,2507.4,19.075,12441.0,222.25,79.68,423.5,233.05,72.3,51.67,37.285,306.6,0.071,869.0
2015-08-05,40.5,687.5,143.78,10090.0,0.5289,1693.07,2529.0,18.76,12818.0,227.1,78.8,427.0,236.15,73.49,52.76,36.975,315.0,0.071,878.0
2015-08-06,39.9,681.0,140.88,10125.0,0.5272,1675.71,2491.6,19.197,12309.0,227.6,79.79,432.0,233.65,72.25,51.89,37.23,303.6,0.07053,850.0
2015-08-07,40.52,677.1,141.34,10112.0,0.5374,1690.44,2520.0,19.295,12396.0,229.65,79.94,434.0,235.55,74.2,53.07,37.305,304.3,0.07081,860.0
2015-08-10,40.23,675.3,141.5,10222.0,0.5429,1702.02,2531.0,19.79,12412.0,231.0,80.43,457.0,236.85,75.16,53.95,38.2,308.95,0.07044,858.0
2015-08-11,40.19,682.0,141.97,10166.0,0.532,1697.87,2519.7,20.7,12320.0,231.95,83.21,458.5,235.5,73.2,52.9,38.33,307.5,0.0705,851.0
2015-08-12,40.18,687.9,142.99,9850.0,0.5349,1697.65,2539.5,20.005,12149.0,230.0,82.45,448.5,240.0,73.4,53.18,38.255,308.1,0.07024,830.0
